"latitude","longitude","codePostal","nomVille","nomSport","ouvertureCovid"
47.52994,-3.138561,56510,"Saint-Pierre-Quiberon","",""
47.4832,-3.120165,56170,"Quiberon","",""
47.602935,-3.0500409,56340,"Carnac","Equitation",""
47.4879621,-3.103415,56170,"Quiberon","Catamaran#Voile",""
47.5689899,-3.079744,56340,"Carnac","Plongée",""
47.58674,-3.032292,56470,"La Trinité-sur-Mer","Ski nautique",""
47.65227,-3.07231,56400,"Ploemel","",""
47.67143,-2.994873,56400,"Auray","Randonnée pédestre",""
47.66649,-2.983767,56400,"Auray","",""
47.4877,-3.103372,56170,"Quiberon","Catamaran#Voile",""
47.65571,-3.2050493,56410,"Étel","Voile",""
47.58611,-3.036416,56470,"La Trinité-sur-Mer","Voile",""
47.3857412,-2.9501239,56170,"Île-d'Houat","Catamaran#Dériveur#Kayak de mer#Planche à voile#Stand up paddle",""
47.5871213,-3.0270212,56470,"La Trinité-sur-Mer","",""
47.6519959,-3.2020692,56410,"Étel","Natation",""
47.4858,-3.101886,56170,"Quiberon","Pêche en mer",""
47.6125,-3.16799,56410,"Erdeven","Stand up paddle",""
47.58889,-3.028924,56470,"La Trinité-sur-Mer","",""
47.5133618,-3.1269116,56510,"Saint-Pierre-Quiberon","Bouée tractée#Kite-surf#Stand up paddle",""
47.66118,-3.004082,56400,"Auray","",""
47.661184,-3.004082,56400,"Auray","",""
47.48518,-3.099982,56170,"Quiberon","",""
47.71972,-3.080678,56550,"Locoal-Mendon","",""
47.5694552,-2.943482,56740,"Locmariaquer","",""
47.58886,-3.029215,56470,"La Trinité-sur-Mer","Voile",""
47.7126499,-2.989655,56400,"Brech","Pêche",""
47.618,-3.073807,56340,"Carnac","",""
47.64103,-3.15767,56410,"Erdeven","Marche aquatique#Natation",""
47.55767,-3.136174,56510,"Saint-Pierre-Quiberon","Yoga / Bien-être",""
47.8651464,-2.4430804,56460,"Val d'Oust","","oui"
48.0074469,-2.2849804,56430,"Tréhorenteuc","",""
47.9326098,-2.4004778,56800,"Ploërmel","","oui"
48.3409045,-4.6152877,29280,"Plouzané","Bodyboard#Surf",""
47.8870969,-3.9812319,29170,"Fouesnant","Marche aquatique#Randonnée palmée",""
47.485395,-3.101226,56170,"Quiberon","Voile Croisière","oui"
47.840714,-4.345849,29120,"Plomeur","Surf",""
47.8430122,-4.2808426,29120,"Plomeur","Stand up paddle",""
47.8716397,-3.9158471,29900,"Concarneau","",""
48.517002,-3.588452,29650,"Guerlesquin","",""
47.993828,-4.105145,29000,"Quimper","",""
48.5608324,-3.1481915,22200,"Guingamp","",""
47.598121,-3.112386,56340,"Plouharnel","",""
47.8642741,-4.221773,29120,"Pont-L'Abbé","",""
48.1773486,-4.2805574,29550,"Plomodiern","Parapente",""
47.5139897,-3.1341216,56510,"Saint-Pierre-Quiberon","Stand up paddle#Surf","oui"
48.468637,-2.517322,22400,"Lamballe-Armor","",""
48.206418,-3.0465209,22530,"Caurel","Canoë kayak",""
48.2936225,-4.177765,29590,"Le Faou","Randonnée pédestre",""
47.8088181,-2.4756464,56460,"Sérent","",""
48.841945,-3.227984,22820,"Plougrescant","Pêche#Voile",""
48.8046235,-3.4414136,22700,"Perros-Guirec","Voile",""
47.5694756,-2.9434867,56740,"Locmariaquer","Voile","oui"
48.0991471,-4.3421502,29100,"Douarnenez","Voile","non"
48.0991471,-4.3421502,29100,"Douarnenez","Voile","non"
47.57182,-3.075565,56340,"Carnac","Voile","oui"
48.597527,-4.560871,29870,"Landéda","Kayak de mer",""
48.2753544,-4.5905754,29570,"Camaret-sur-Mer","Voile","non"
48.6292994,-4.5067441,29880,"Plouguerneau","Randonnée palmée",""
48.7104896,-3.8309669,29630,"Plougasnou","Randonnée palmée","oui"
48.624819,-2.055408,35800,"Dinard","Kayak de mer",""
48.6485877,-2.0198374,35400,"Saint-Malo","Voile",""
48.6293407,-4.5291067,29880,"Plouguerneau","Stand up paddle",""
47.8701538,-4.1168065,29120,"Combrit","Stand up paddle",""
47.567236,-2.9374699,56740,"Locmariaquer","","oui"
48.008879,-2.28777,56430,"Tréhorenteuc","Randonnée pédestre","oui"
47.9558899,-2.3814841,56800,"Ploërmel","","oui"
47.826687,-2.403052,56140,"Saint-Marcel","Geocaching#Jeu de piste",""
47.9556482,-4.0808295,29000,"Quimper","Stand up paddle#Wakeboard",""
48.3911325,-4.4853366,29200,"Brest","","oui"
47.7628512,-2.1298401,56200,"La Gacilly","",""
47.997542,-4.097899,29000,"Quimper","","oui"
48.0648739,-2.2055711,56430,"Concoret","Randonnée pédestre",""
47.8219276,-2.1392848,56910,"Carentoir","Geocaching#Randonnée pédestre",""
47.94132,-2.42309,56800,"Taupont","","oui"
47.9518228,-2.545001,56120,"Josselin","","oui"
47.91614,-2.56745,56120,"Guégon","","oui"
47.74574,-2.25329,56200,"Saint-Martin-sur-Oust","",""
47.94534,-2.42064,NA,"Taupont","Geocaching#Jeu de piste",""
47.9548828,-2.5476371,56120,"Josselin","Geocaching#Jeu de piste","oui"
47.8213512,-2.0920825,56910,"Carentoir","Geocaching#Randonnée pédestre",""
47.76516,-2.1312,56200,"La Gacilly","",""
47.7664561,-2.1342938,56200,"La Gacilly","",""
47.82289,-2.5057,56460,"Sérent","",""
47.8645016,-2.4356347,56460,"Val d'Oust","Cyclotourisme","oui"
47.9315306,-2.3963329,56800,"Ploërmel","Cyclotourisme#VTT","oui"
47.9535069,-2.5477953,56120,"Josselin","","oui"
48.01297,-2.32861,56430,"Néant-sur-Yvel","",""
47.571593,-3.0757473,56340,"Carnac","Kayak de mer#Planche à voile#Stand up paddle#Voile","oui"
47.50805,-3.12114,56510,"Saint-Pierre-Quiberon","",""
47.48243,-3.12008,56170,"Quiberon","",""
47.4859773,-3.1022174,56170,"Quiberon","",""
47.4889299,-3.1241131,56170,"Quiberon","",""
47.5069361,-3.1414001,56510,"Saint-Pierre-Quiberon","",""
47.4783791,-3.1244079,56170,"Quiberon","Catamaran#Voile",""
47.484435,-3.102266,56170,"Quiberon","Yoga / Bien-être",""
47.52302,-3.146,56510,"Saint-Pierre-Quiberon","Planche à voile",""
47.713408,-2.218552,NA,"Peillac","",""
47.584693,-3.077786,56340,"Carnac","",""
47.5563,-2.929165,56740,"Locmariaquer","Catamaran#Voile",""
47.71006,-3.11502,56550,"Locoal-Mendon","",""
47.6156935,-3.1573974,56410,"Erdeven","Bodyboard#Surf",""
47.6449417,-3.1463699,56410,"Erdeven","",""
47.6569523,-3.2071568,56410,"Étel","",""
47.6566486,-3.2074864,56550,"Belz","Canoë kayak#Randonnée pédestre",""
47.6116265,-3.1686926,56410,"Erdeven","Stand up paddle#Surf",""
47.4843909,-3.10134,56170,"Quiberon","Pêche en mer",""
47.559108,-3.136031,56510,"Saint-Pierre-Quiberon","Kayak de mer#Randonnée pédestre#Stand up paddle",""
47.6656246,-2.9862579,56400,"Auray","Voile Croisière",""
48.522506,-2.7650569,22000,"Saint-Brieuc","Canoë kayak#Kayak de mer",""
48.8164321,-3.4543941,22700,"Perros-Guirec","Bodyboard#Stand up paddle#Surf",""
48.7688639,-3.0229764,22500,"Paimpol","","oui"
48.7402008,-3.2660293,22450,"La Roche-Jaudy","Canoë kayak#Kayak de mer#Stand up paddle#Wave-ski","oui"
